Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Precious Achiuwa,C,23,TOR,38,11,23.3,3.9,8.1,.482,0.5,2.0,.260,3.4,6.1,.557,.515,1.9,2.8,.689,2.0,4.6,6.6,1.0,0.6,0.7,1.2,2.1,10.2
Steven Adams,C,29,MEM,42,42,27.0,3.7,6.3,.597,0.0,0.0,.000,3.7,6.2,.599,.597,1.1,3.1,.364,5.1,6.5,11.5,2.3,0.9,1.1,1.9,2.3,8.6
Bam Adebayo,C,25,MIA,57,57,35.0,8.4,15.7,.536,0.0,0.2,.083,8.4,15.5,.543,.537,4.4,5.5,.800,2.6,7.2,9.8,3.2,1.2,0.8,2.5,2.8,21.2
Ochai Agbaji,SG,22,UTA,39,2,15.6,1.8,3.8,.483,0.9,2.3,.396,0.9,1.5,.621,.604,0.4,0.6,.682,0.7,1.1,1.8,0.6,0.2,0.1,0.3,1.4,5.0
Santi Aldama,PF,22,MEM,56,18,22.0,3.3,7.0,.474,1.4,3.7,.364,2.0,3.3,.601,.571,1.4,1.9,.729,1.0,3.6,4.6,1.2,0.7,0.7,0.7,1.9,9.4
Nickeil Alexander-Walker,SG,24,TOT,40,3,14.5,2.3,4.9,.479,1.0,2.4,.412,1.3,2.4,.546,.582,0.7,1.0,.675,0.3,1.4,1.7,2.0,0.6,0.4,1.2,1.5,6.3
Nickeil Alexander-Walker,SG,24,UTA,36,3,14.7,2.3,4.7,.488,1.0,2.4,.402,1.3,2.3,.578,.591,0.8,1.1,.692,0.2,1.4,1.6,2.1,0.7,0.4,1.3,1.6,6.3
Nickeil Alexander-Walker,SG,24,MIN,4,0,13.0,2.5,6.0,.417,1.3,2.5,.500,1.3,3.5,.357,.521,0.0,0.3,.000,0.5,1.5,2.0,0.5,0.3,0.5,1.0,0.8,6.3
Grayson Allen,SG,27,MIL,56,54,27.6,3.4,7.8,.440,2.0,4.9,.404,1.4,2.8,.503,.569,1.7,1.9,.906,0.9,2.5,3.4,2.4,0.8,0.2,1.1,1.6,10.5
Jarrett Allen,C,24,CLE,57,57,33.2,6.2,9.4,.654,0.0,0.2,.111,6.2,9.3,.664,.655,2.5,3.4,.733,3.2,6.7,9.9,1.6,0.8,1.2,1.5,2.2,14.8
Jose Alvarado,PG,24,NOP,61,10,21.5,3.3,8.0,.411,1.4,4.0,.336,1.9,4.0,.488,.496,1.1,1.3,.813,0.5,1.9,2.3,3.0,1.1,0.2,1.3,2.0,9.0
Kyle Anderson,PF,29,MIN,50,34,26.2,3.2,6.3,.503,0.6,1.4,.423,2.6,4.9,.527,.551,1.7,2.2,.764,0.8,4.1,4.8,4.1,1.1,0.9,1.4,2.1,8.6
Giannis Antetokounmpo,PF,28,MIL,48,48,32.5,11.1,20.7,.538,0.8,2.9,.270,10.3,17.7,.583,.557,8.2,12.7,.646,2.3,9.7,12.0,5.4,0.8,0.8,3.9,3.3,31.3
Thanasis Antetokounmpo,SF,30,MIL,26,0,4.1,0.2,0.8,.250,0.0,0.2,.000,0.2,0.6,.313,.250,0.2,0.3,.500,0.3,0.7,1.0,0.2,0.1,0.1,0.3,0.5,0.5
Cole Anthony,PG,22,ORL,42,3,24.7,4.1,9.4,.435,1.1,3.2,.333,3.0,6.2,.488,.492,2.5,2.8,.890,0.6,3.9,4.5,4.1,0.6,0.6,1.5,2.5,11.8
OG Anunoby,SF,25,TOR,48,48,35.8,6.1,13.4,.453,1.8,5.1,.356,4.3,8.3,.514,.522,2.4,2.9,.825,1.4,3.9,5.4,2.0,2.0,0.8,2.1,3.0,16.4
Ryan Arcidiacono,PG,28,TOT,14,1,4.9,0.3,1.0,.286,0.3,0.6,.444,0.0,0.4,.000,.429,0.0,0.0,,0.0,0.7,0.7,0.6,0.1,0.0,0.2,0.4,0.9
Ryan Arcidiacono,PG,28,NYK,11,0,2.4,0.1,0.5,.200,0.1,0.3,.333,0.0,0.2,.000,.300,0.0,0.0,,0.0,0.4,0.4,0.2,0.2,0.0,0.1,0.3,0.3
Ryan Arcidiacono,PG,28,POR,3,1,14.3,1.0,3.0,.333,1.0,2.0,.500,0.0,1.0,.000,.500,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,0.7,1.0,3.0
Deni Avdija,SF,22,WAS,58,33,26.3,3.3,7.4,.439,0.9,3.1,.294,2.4,4.4,.539,.499,1.7,2.2,.752,1.0,5.2,6.2,2.6,0.9,0.5,1.5,2.9,9.1
Deandre Ayton,C,24,PHO,53,53,30.3,8.2,13.8,.591,0.1,0.4,.304,8.0,13.4,.600,.595,2.2,3.0,.739,2.8,7.3,10.1,2.0,0.6,0.8,1.9,2.8,18.7
Udoka Azubuike,C,23,UTA,25,0,5.8,0.9,1.1,.852,0.0,0.0,,0.9,1.1,.852,.852,0.1,0.2,.333,0.6,1.6,2.2,0.2,0.2,0.2,0.4,0.5,1.9
