player_name,salary,season,salary_mill,year
Kobe Bryant,24806250,2010-11,24.81,2010
Rashard Lewis,19573711,2010-11,19.57,2010
Kevin Garnett,18800000,2010-11,18.8,2010
Tim Duncan,18700000,2010-11,18.7,2010
Michael Redd,18300000,2010-11,18.3,2010
Pau Gasol,17823000,2010-11,17.82,2010
Andrei Kirilenko,17823000,2010-11,17.82,2010
Gilbert Arenas,17730694,2010-11,17.73,2010
Yao Ming,17686100,2010-11,17.69,2010
Zach Randolph,17666666,2010-11,17.67,2010
Vince Carter,17300000,2010-11,17.3,2010
Dirk Nowitzki,17278618,2010-11,17.28,2010
Carmelo Anthony,17149243,2010-11,17.15,2010
Dwight Howard,16647180,2010-11,16.65,2010
Kenyon Martin,16545454,2010-11,16.55,2010
Amare Stoudemire,16486611,2010-11,16.49,2010
Joe Johnson,16324500,2010-11,16.32,2010
Elton Brand,15959099,2010-11,15.96,2010
Predrag Stojakovic,15532320,2010-11,15.53,2010
Chris Paul,14940153,2010-11,14.94,2010
Deron Williams,14940152,2010-11,14.94,2010
LeBron James,14500000,2010-11,14.5,2010
Chris Bosh,14500000,2010-11,14.5,2010
Jason Richardson,14444444,2010-11,14.44,2010
Carlos Boozer,14400000,2010-11,14.4,2010
Dwyane Wade,14200000,2010-11,14.2,2010
Paul Pierce,13876321,2010-11,13.88,2010
Andrew Bynum,13700000,2010-11,13.7,2010
Rudy Gay,13603750,2010-11,13.6,2010
Brandon Roy,13520500,2010-11,13.52,2010
Tony Parker,13500000,2010-11,13.5,2010
Samuel Dalembert,13428129,2010-11,13.43,2010
Antawn Jamison,13358905,2010-11,13.36,2010
Nick Collison,13250000,2010-11,13.25,2010
Chauncey Billups,13150000,2010-11,13.15,2010
Baron Davis,13000000,2010-11,13.0,2010
Al Jefferson,13000000,2010-11,13.0,2010
Tyson Chandler,12600000,2010-11,12.6,2010
Richard Hamilton,12500000,2010-11,12.5,2010
Andre Iguodala,12345250,2010-11,12.35,2010
Troy Murphy,11968253,2010-11,11.97,2010
Manu Ginobili,11854584,2010-11,11.85,2010
Chris Kaman,11800000,2010-11,11.8,2010
Marcus Camby,11749832,2010-11,11.75,2010
Josh Smith,11600000,2010-11,11.6,2010
Eddy Curry,11530592,2010-11,11.53,2010
Emeka Okafor,11495000,2010-11,11.5,2010
Nenê,11360000,2010-11,11.36,2010
Luol Deng,11345000,2010-11,11.34,2010
LaMarcus Aldridge,11244000,2010-11,11.24,2010
Tayshaun Prince,11148760,2010-11,11.15,2010
Kevin Martin,11100005,2010-11,11.1,2010
Monta Ellis,11000000,2010-11,11.0,2010
Andrew Bogut,11000000,2010-11,11.0,2010
Danny Granger,10973202,2010-11,10.97,2010
Jamal Crawford,10800000,2010-11,10.8,2010
Ben Gordon,10800000,2010-11,10.8,2010
David Lee,10800000,2010-11,10.8,2010
Jason Terry,10650000,2010-11,10.65,2010
Mike Dunleavy,10561984,2010-11,10.56,2010
Caron Butler,10561960,2010-11,10.56,2010
Gerald Wallace,10500000,2010-11,10.5,2010
Steve Nash,10310938,2010-11,10.31,2010
Hidayet Turkoglu,10215850,2010-11,10.22,2010
Ray Allen,10000000,2010-11,10.0,2010
Mehmet Okur,9945000,2010-11,9.94,2010
Corey Maggette,9600000,2010-11,9.6,2010
Maurice Williams,9300000,2010-11,9.3,2010
Rajon Rondo,9090911,2010-11,9.09,2010
Kirk Hinrich,9000000,2010-11,9.0,2010
Boris Diaw,9000000,2010-11,9.0,2010
Andris Biedrins,9000000,2010-11,9.0,2010
Jose Calderon,9000000,2010-11,9.0,2010
Devin Harris,8981000,2010-11,8.98,2010
Jason Kidd,8610500,2010-11,8.61,2010
TJ Ford,8500000,2010-11,8.5,2010
Andrea Bargnani,8500000,2010-11,8.5,2010
Stephen Jackson,8453250,2010-11,8.45,2010
Richard Jefferson,8400000,2010-11,8.4,2010
David West,8287500,2010-11,8.29,2010
Lamar Odom,8200000,2010-11,8.2,2010
John Salmons,8000000,2010-11,8.0,2010
Jameer Nelson,7800000,2010-11,7.8,2010
Luis Scola,7775378,2010-11,7.78,2010
Marko Jaric,7625000,2010-11,7.62,2010
Paul Millsap,7600000,2010-11,7.6,2010
Raymond Felton,7500000,2010-11,7.5,2010
Joel Przybilla,7405300,2010-11,7.41,2010
Shane Battier,7354500,2010-11,7.35,2010
Shawn Marion,7305500,2010-11,7.31,2010
Anderson Varejao,7281818,2010-11,7.28,2010
Andre Miller,7269264,2010-11,7.27,2010
JJ Redick,7250000,2010-11,7.25,2010
Dan Gadzuric,7248325,2010-11,7.25,2010
James Posey,7148800,2010-11,7.15,2010
Leandro Barbosa,7100000,2010-11,7.1,2010
Charlie Villanueva,7020000,2010-11,7.02,2010
Travis Outlaw,7000000,2010-11,7.0,2010
Brendan Haywood,6900000,2010-11,6.9,2010
Vladimir Radmanovic,6883800,2010-11,6.88,2010
Jared Jeffries,6883800,2010-11,6.88,2010
Nazr Mohammed,6883800,2010-11,6.88,2010
Andres Nocioni,6850000,2010-11,6.85,2010
Greg Oden,6760524,2010-11,6.76,2010
JR Smith,6757851,2010-11,6.76,2010
Marvin Williams,6712500,2010-11,6.71,2010
Morris Peterson,6665000,2010-11,6.66,2010
Jeff Foster,6655000,2010-11,6.66,2010
Jason Kapono,6641440,2010-11,6.64,2010
Tyrus Thomas,6611570,2010-11,6.61,2010
Josh Childress,6500000,2010-11,6.5,2010
DeSagana Diop,6478600,2010-11,6.48,2010
Beno Udrih,6478600,2010-11,6.48,2010
Rasheed Wallace,6322320,2010-11,6.32,2010
Metta World Peace,6322320,2010-11,6.32,2010
Trevor Ariza,6322320,2010-11,6.32,2010
Marcin Gortat,6322320,2010-11,6.32,2010
Kevin Durant,6053663,2010-11,6.05,2010
Andray Blatche,5900000,2010-11,5.9,2010
Jermaine O'Neal,5765000,2010-11,5.76,2010
Al Harrington,5765000,2010-11,5.76,2010
Wesley Matthews,5765000,2010-11,5.76,2010
Drew Gooden,5760000,2010-11,5.76,2010
Kyle Lowry,5750000,2010-11,5.75,2010
Mike Bibby,5564767,2010-11,5.56,2010
Derrick Rose,5546160,2010-11,5.55,2010
Nenad Krstic,5543116,2010-11,5.54,2010
Jamaal Tinsley,5500000,2010-11,5.5,2010
Francisco Garcia,5500000,2010-11,5.5,2010
Sasha Vujacic,5475113,2010-11,5.48,2010
Al Horford,5444857,2010-11,5.44,2010
Blake Griffin,5357280,2010-11,5.36,2010
Mickael Pietrus,5300000,2010-11,5.3,2010
Luke Walton,5260000,2010-11,5.26,2010
Channing Frye,5200000,2010-11,5.2,2010
John Wall,5144280,2010-11,5.14,2010
Reggie Evans,5080000,2010-11,5.08,2010
Kyle Korver,5000000,2010-11,5.0,2010
Jason Maxiell,5000000,2010-11,5.0,2010
Mike Miller,5000000,2010-11,5.0,2010
Louis Williams,5000000,2010-11,5.0,2010
Amir Johnson,5000000,2010-11,5.0,2010
Linas Kleiza,4995000,2010-11,5.0,2010
Michael Beasley,4962240,2010-11,4.96,2010
Mike Conley,4913007,2010-11,4.91,2010
Antonio McDyess,4860000,2010-11,4.86,2010
Marcus Banks,4847586,2010-11,4.85,2010
Darius Songaila,4818000,2010-11,4.82,2010
Martell Webster,4800000,2010-11,4.8,2010
Hasheem Thabeet,4793280,2010-11,4.79,2010
Ronnie Brewer,4790000,2010-11,4.79,2010
Kendrick Perkins,4640208,2010-11,4.64,2010
