,season,name,shoots,position,salary
0,2000-01,Mahmoud Abdul-Rauf,Right,Point Guard,798500
1,1999-00,Tariq Abdul-Wahad,Right,Shooting Guard,1594920
2,2000-01,Tariq Abdul-Wahad,Right,Shooting Guard,4500000
3,2001-02,Tariq Abdul-Wahad,Right,Shooting Guard,5062500
4,2002-03,Tariq Abdul-Wahad,Right,Shooting Guard,5625000
5,2003-04,Tariq Abdul-Wahad,Right,Shooting Guard,6187500
6,2004-05,Tariq Abdul-Wahad,Right,Shooting Guard,6750000
7,2005-06,Tariq Abdul-Wahad,Right,Shooting Guard,3656250
8,2006-07,Tariq Abdul-Wahad,Right,Shooting Guard,1968750
9,1999-00,Shareef Abdur-Rahim,Right,Center and Small Forward and Power Forward,9000000
10,2000-01,Shareef Abdur-Rahim,Right,Center and Small Forward and Power Forward,10130000
11,2001-02,Shareef Abdur-Rahim,Right,Center and Small Forward and Power Forward,11250000
12,2002-03,Shareef Abdur-Rahim,Right,Center and Small Forward and Power Forward,12375000
13,2003-04,Shareef Abdur-Rahim,Right,Center and Small Forward and Power Forward,13500000
14,2004-05,Shareef Abdur-Rahim,Right,Center and Small Forward and Power Forward,14625000
15,2005-06,Shareef Abdur-Rahim,Right,Center and Small Forward and Power Forward,5000000
16,2006-07,Shareef Abdur-Rahim,Right,Center and Small Forward and Power Forward,5400000
17,2007-08,Shareef Abdur-Rahim,Right,Center and Small Forward and Power Forward,5800000
18,2009-10,Shareef Abdur-Rahim,Right,Center and Small Forward and Power Forward,6600000
19,2016-17,Alex Abrines,Right,Shooting Guard,5994764
20,2017-18,Alex Abrines,Right,Shooting Guard,5725000
21,2005-06,Alex Acker,Right,Shooting Guard,398762
22,2006-07,Alex Acker,Right,Shooting Guard,839209
23,2008-09,Alex Acker,Right,Shooting Guard,711517
24,2012-13,Quincy Acy,Right,Power Forward and Small Forward,665000
25,2013-14,Quincy Acy,Right,Power Forward and Small Forward,788872
26,2014-15,Quincy Acy,Right,Power Forward and Small Forward,915243
27,2015-16,Quincy Acy,Right,Power Forward and Small Forward,981348
28,2016-17,Quincy Acy,Right,Power Forward and Small Forward,1914544
29,2016-17,Quincy Acy,Right,Power Forward and Small Forward,1050961
