athlete_name,year,event_order,points_earned,event_name,athlete_country,athlete_profile_url,athlete_stance,athlete_first_season,athlete_age,athlete_height,athlete_weight,injuried_flag
Kelly Slater,2010,1,3750,Quiksilver Pro Gold Coast,United States,https://www.worldsurfleague.com/athletes/553/kelly-slater,Regular,1989 Men's CT,38,175,73,0.0
Jordy Smith,2010,1,8000,Quiksilver Pro Gold Coast,South Africa,https://www.worldsurfleague.com/athletes/564/jordy-smith,Regular,2006 Men's CT,22,190,88,0.0
Mick Fanning,2010,1,3750,Quiksilver Pro Gold Coast,Australia,https://www.worldsurfleague.com/athletes/554/mick-fanning,Regular,1999 Men's CT,29,178,79,0.0
Dane Reynolds,2010,1,6500,Quiksilver Pro Gold Coast,United States,https://www.worldsurfleague.com/athletes/580/dane-reynolds,Regular,2003 Men's CT,25,183,79,0.0
Taj Burrow,2010,1,10000,Quiksilver Pro Gold Coast,Australia,https://www.worldsurfleague.com/athletes/555/taj-burrow,Regular,1996 Men's CT,32,175,72,0.0
Bede Durbidge,2010,1,5250,Quiksilver Pro Gold Coast,Australia,https://www.worldsurfleague.com/athletes/558/bede-durbidge,Regular,2002 Men's CT,27,185,82,0.0
Owen Wright,2010,1,1750,Quiksilver Pro Gold Coast,Australia,https://www.worldsurfleague.com/athletes/297/owen-wright,Goofy,2006 Men's CT,20,190,81,0.0
Adrian Buchan,2010,1,3750,Quiksilver Pro Gold Coast,Australia,https://www.worldsurfleague.com/athletes/575/adrian-buchan,Goofy,2003 Men's CT,28,175,75,0.0
Jeremy Flores,2010,1,1750,Quiksilver Pro Gold Coast,France,https://www.worldsurfleague.com/athletes/562/jeremy-flores,Regular,2006 Men's CT,22,173,72,0.0
Adriano de Souza,2010,1,5250,Quiksilver Pro Gold Coast,Brazil,https://www.worldsurfleague.com/athletes/13/adriano-de-souza,Regular,2006 Men's CT,23,170,66,0.0
Michel Bourez,2010,1,500,Quiksilver Pro Gold Coast,France,https://www.worldsurfleague.com/athletes/593/michel-bourez,Regular,2007 Men's CT,24,175,80,0.0
Damien Hobgood,2010,1,3750,Quiksilver Pro Gold Coast,United States,https://www.worldsurfleague.com/athletes/584/damien-hobgood,Goofy,1999 Men's CT,31,177,70,0.0
Jadson Andre,2010,1,1750,Quiksilver Pro Gold Coast,Brazil,https://www.worldsurfleague.com/athletes/466/jadson-andre,Goofy,2008 Men's QS,20,170,70,0.0
Kieren Perrow,2010,1,3750,Quiksilver Pro Gold Coast,Australia,https://www.worldsurfleague.com/athletes/577/kieren-perrow,Regular,2001 Men's CT,33,175,68,0.0
Chris Davidson,2010,1,3750,Quiksilver Pro Gold Coast,Australia,https://www.worldsurfleague.com/athletes/233/chris-davidson,,1994 Men's CT,,,,0.0
C. J. Hobgood,2010,1,1750,Quiksilver Pro Gold Coast,,,,,,,,0.0
Taylor Knox,2010,1,1750,Quiksilver Pro Gold Coast,United States,https://www.worldsurfleague.com/athletes/12/taylor-knox,Regular,1989 Men's CT,39,,,0.0
Andy Irons,2010,1,1750,Quiksilver Pro Gold Coast,Hawaii,https://www.worldsurfleague.com/athletes/559/andy-irons,Regular,1997 Men's CT,20,183,77,0.0
Freddy Patacchia Jr.,2010,1,3750,Quiksilver Pro Gold Coast,Hawaii,https://www.worldsurfleague.com/athletes/2/freddy-patacchia-jr,Goofy,2002 Men's CT,28,172,74,0.0
Bobby Martinez,2010,1,6500,Quiksilver Pro Gold Coast,United States,https://www.worldsurfleague.com/athletes/561/bobby-martinez,Goofy,2006 Men's CT,28,,,0.0
Tiago Pires,2010,1,1750,Quiksilver Pro Gold Coast,Portugal,https://www.worldsurfleague.com/athletes/585/tiago-pires,Regular,1999 Men's CT,30,167,69,0.0
Patrick Gudauskas,2010,1,1750,Quiksilver Pro Gold Coast,United States,https://www.worldsurfleague.com/athletes/4/patrick-gudauskas,Regular,2008 Men's QS,24,183,72,0.0
Brett Simpson,2010,1,1750,Quiksilver Pro Gold Coast,United States,https://www.worldsurfleague.com/athletes/23/brett-simpson,Regular,2008 Men's QS,25,185,81,0.0
Matt Wilkinson,2010,1,500,Quiksilver Pro Gold Coast,Australia,https://www.worldsurfleague.com/athletes/226/matt-wilkinson,Goofy,2006 Men's CT,22,180,82,0.0
Joel Parkinson,2010,1,5250,Quiksilver Pro Gold Coast,Australia,https://www.worldsurfleague.com/athletes/556/joel-parkinson,Regular,1999 Men's CT,29,183,82,0.0
Dusty Payne,2010,1,1750,Quiksilver Pro Gold Coast,Hawaii,https://www.worldsurfleague.com/athletes/8/dusty-payne,Regular,2008 Men's QS,21,178,74,0.0
Adam Melling,2010,1,500,Quiksilver Pro Gold Coast,Australia,https://www.worldsurfleague.com/athletes/260/adam-melling,Regular,2008 Men's QS,25,175,75,0.0
Daniel Ross,2010,1,3750,Quiksilver Pro Gold Coast,Australia,https://www.worldsurfleague.com/athletes/582/daniel-ross,,2008 Men's CT,,,,0.0
Travis Logie,2010,1,500,Quiksilver Pro Gold Coast,South Africa,https://www.worldsurfleague.com/athletes/572/travis-logie,Goofy,2003 Men's CT,31,167,66,0.0
